Size_sqft,Bedrooms,Bathrooms,Age_years,Price
1726,3,1,13,424868
2059,4,1,2,547412
1460,4,1,0,442545
1894,1,3,4,416763
1730,3,1,25,404266
1695,5,1,13,496244
2324,3,1,38,460621
1644,5,3,26,564903
2238,1,1,8,430347
721,2,4,14,313454
1066,4,1,14,394815
1838,1,4,25,460084
930,4,4,12,496505
2082,2,4,31,526876
687,2,3,38,256403
1996,1,3,31,395075
1723,2,3,3,495183
1471,5,1,29,467067
2287,2,4,36,524988
730,4,3,22,379164
2285,4,3,38,558386
1932,4,1,14,491880
1369,4,3,28,467078
943,5,1,35,381300
2115,3,2,12,519986
2037,1,3,31,412223
1405,4,2,6,486255
985,2,1,21,263073
1815,4,4,27,594895
1555,2,3,1,422104
876,2,1,5,255948
1784,4,4,27,582223
1059,5,4,27,492242
1937,2,2,19,458230
621,2,1,29,191867
852,4,4,10,492201
1347,2,3,27,359606
1456,2,3,24,411259
2184,4,2,38,540159
1074,4,4,32,453409
1682,1,1,0,334219
1110,5,3,26,459431
2305,5,4,12,754412
2099,2,4,2,573820
1299,5,2,38,463065
1575,2,3,5,469620
2406,1,3,7,499588
789,4,1,26,301692
1557,4,3,8,544707
1286,4,1,36,333227
